,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,OREB  Offensive Rebounds,DREB  Defensive Rebounds,REB  Total Rebounds,RPG  Rebounds Per Game,Player,Position,Team
190,15,15,36.4,,,,,,,,,,,6.0,46.0,52.0,3.5,Tyrese Maxey,PG,PHI
191,19,19,29.9,,,,,,,,,,,27.0,40.0,67.0,3.5,Jaden McDaniels,SF,MIN
192,18,0,12.6,,,,,,,,,,,17.0,45.0,62.0,3.4,Dewayne Dedmon,C,MIA
193,19,19,32.2,,,,,,,,,,,7.0,57.0,64.0,3.4,Kevin Huerter,SG,SAC
194,20,20,30.0,,,,,,,,,,,14.0,53.0,67.0,3.4,Tre Jones,PG,SA
195,20,0,20.8,,,,,,,,,,,15.0,53.0,68.0,3.4,Damion Lee,SG,PHO
196,17,17,29.6,,,,,,,,,,,7.0,50.0,57.0,3.4,Klay Thompson,SG,GS
197,14,14,37.3,,,,,,,,,,,8.0,40.0,48.0,3.4,Fred VanVleet,PG,TOR
198,21,0,22.6,,,,,,,,,,,6.0,63.0,69.0,3.3,Will Barton,SG,WAS
199,21,21,31.0,,,,,,,,,,,14.0,55.0,69.0,3.3,D'Angelo Russell,PG,MIN
200,15,11,27.9,,,,,,,,,,,9.0,40.0,49.0,3.3,Dennis Smith Jr.,PG,CHA
201,17,15,26.8,,,,,,,,,,,16.0,39.0,55.0,3.2,Grayson Allen,SF,MIL
202,19,19,31.6,,,,,,,,,,,10.0,51.0,61.0,3.2,Kentavious Caldwell-Pope,SG,DEN
203,20,0,16.6,,,,,,,,,,,22.0,42.0,64.0,3.2,Javonte Green,PF,CHI
204,21,9,20.8,,,,,,,,,,,15.0,53.0,68.0,3.2,Terance Mann,SF,LAC
205,16,9,21.8,,,,,,,,,,,8.0,43.0,51.0,3.2,Aaron Nesmith,SF,IND
206,19,7,28.5,,,,,,,,,,,13.0,48.0,61.0,3.2,Austin Reaves,SG,LAL
207,18,18,28.8,,,,,,,,,,,9.0,46.0,55.0,3.1,Reggie Bullock,SF,DAL
208,19,19,32.5,,,,,,,,,,,5.0,54.0,59.0,3.1,Spencer Dinwiddie,PG,DAL
209,18,5,12.6,,,,,,,,,,,20.0,35.0,55.0,3.1,Montrezl Harrell,C,PHI
210,16,0,18.4,,,,,,,,,,,13.0,37.0,50.0,3.1,Jake LaRavia,SF,MEM
211,16,12,17.0,,,,,,,,,,,26.0,24.0,50.0,3.1,Dwight Powell,C,DAL
212,18,18,36.6,,,,,,,,,,,6.0,50.0,56.0,3.1,Anfernee Simons,SG,POR
213,19,19,32.3,,,,,,,,,,,5.0,53.0,58.0,3.1,Marcus Smart,PG,BOS
214,17,6,24.6,,,,,,,,,,,10.0,42.0,52.0,3.1,Jalen Williams,SG,OKC
215,20,5,25.8,,,,,,,,,,,9.0,50.0,59.0,3.0,Alex Caruso,SG,CHI
216,22,0,15.6,,,,,,,,,,,21.0,45.0,66.0,3.0,Hamidou Diallo,SF,DET
217,21,0,22.8,,,,,,,,,,,7.0,55.0,62.0,3.0,Cedi Osman,SF,CLE
218,21,16,26.3,,,,,,,,,,,11.0,53.0,64.0,3.0,Derrick White,SG,BOS
219,20,20,35.4,,,,,,,,,,,17.0,42.0,59.0,3.0,Trae Young,PG,ATL
220,19,5,16.1,,,,,,,,,,,24.0,31.0,55.0,2.9,Keita Bates-Diop,SF,SA
221,15,6,15.5,,,,,,,,,,,14.0,30.0,44.0,2.9,MarJon Beauchamp,SG,MIL
222,18,1,13.1,,,,,,,,,,,8.0,45.0,53.0,2.9,Terence Davis,SF,SAC
223,20,11,25.1,,,,,,,,,,,10.0,48.0,58.0,2.9,Joe Harris,SG,BKN
224,14,0,11.4,,,,,,,,,,,12.0,28.0,40.0,2.9,Serge Ibaka,PF,MIL
225,20,0,13.3,,,,,,,,,,,9.0,48.0,57.0,2.9,Jalen Johnson,SF,ATL
226,18,4,22.4,,,,,,,,,,,11.0,41.0,52.0,2.9,Tre Mann,PG,OKC
227,15,0,12.1,,,,,,,,,,,8.0,36.0,44.0,2.9,Chimezie Metu,PF,SAC
228,21,5,25.3,,,,,,,,,,,7.0,53.0,60.0,2.9,Norman Powell,SG,LAC
229,16,0,14.7,,,,,,,,,,,17.0,28.0,45.0,2.8,Trey Lyles,C,SAC
230,19,4,20.2,,,,,,,,,,,15.0,39.0,54.0,2.8,Naji Marshall,SF,NO
231,19,19,27.2,,,,,,,,,,,12.0,40.0,52.0,2.7,Jevon Carter,PG,MIL
232,22,9,23.5,,,,,,,,,,,11.0,48.0,59.0,2.7,Killian Hayes,PG,DET
233,21,0,17.3,,,,,,,,,,,11.0,45.0,56.0,2.7,Jaylen Nowell,SG,MIN
234,16,3,20.0,,,,,,,,,,,12.0,29.0,41.0,2.6,Jeff Green,PF,DEN
235,21,21,29.1,,,,,,,,,,,5.0,49.0,54.0,2.6,Reggie Jackson,PG,LAC
236,15,7,9.1,,,,,,,,,,,11.0,28.0,39.0,2.6,JaVale McGee,C,DAL
237,20,0,17.8,,,,,,,,,,,16.0,35.0,51.0,2.6,David Roddy,SF,MEM
238,15,1,9.4,,,,,,,,,,,17.0,22.0,39.0,2.6,Noah Vonleh,C,BOS
239,17,0,22.2,,,,,,,,,,,6.0,39.0,45.0,2.6,John Wall,PG,LAC
240,21,0,17.5,,,,,,,,,,,7.0,46.0,53.0,2.5,Sam Hauser,SF,BOS
241,23,0,16.7,,,,,,,,,,,11.0,47.0,58.0,2.5,Talen Horton-Tucker,SF,UTA
242,17,2,15.1,,,,,,,,,,,13.0,30.0,43.0,2.5,Jonathan Kuminga,PF,GS
243,20,0,15.3,,,,,,,,,,,7.0,42.0,49.0,2.5,Nassir Little,SF,POR
244,18,0,19.6,,,,,,,,,,,6.0,39.0,45.0,2.5,Taurean Prince,PF,MIN
245,15,0,12.9,,,,,,,,,,,7.0,31.0,38.0,2.5,Naz Reid,C,MIN
246,20,5,20.5,,,,,,,,,,,8.0,40.0,48.0,2.4,Jose Alvarado,PG,NO
247,19,0,17.2,,,,,,,,,,,5.0,40.0,45.0,2.4,James Bouknight,SG,CHA
248,17,17,29.2,,,,,,,,,,,7.0,34.0,41.0,2.4,Mike Conley,PG,UTA
249,15,0,13.0,,,,,,,,,,,15.0,21.0,36.0,2.4,Derrick Jones Jr.,SF,CHI
250,20,5,20.0,,,,,,,,,,,11.0,36.0,47.0,2.4,Isaiah Livers,SF,DET
251,19,1,16.5,,,,,,,,,,,3.0,43.0,46.0,2.4,Theo Maledon,PG,CHA
