,GP  Games played,GS  Games started,STL  Total Steals,SPG  Steals Per Game,BLK  Total Blocks,BPG  Blocks Per Game,Player,Position,Team
267,21,0,,,3.0,0.14,Nassir Little,SF,POR
268,21,4,,,3.0,0.14,Isaac Okoro,SG,CLE
269,21,0,,,3.0,0.14,Cedi Osman,SF,CLE
270,21,0,,,3.0,0.14,Immanuel Quickley,PG,NY
271,15,6,,,2.0,0.13,MarJon Beauchamp,SG,MIL
272,15,0,,,2.0,0.13,Oshae Brissett,SF,IND
273,15,1,,,2.0,0.13,Robin Lopez,C,CLE
274,15,0,,,2.0,0.13,Chimezie Metu,PF,SAC
275,16,0,,,2.0,0.13,Cameron Thomas,SG,BKN
276,16,0,,,2.0,0.13,Gabe Vincent,PG,MIA
277,17,14,,,2.0,0.12,Caris LeVert,SF,CLE
278,17,7,,,2.0,0.12,Thaddeus Young,PF,TOR
