,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,Player,Position,Team
56,19,19,32.6,16.9,116,198,58.6,6,22,27.3,84,113,74.3,Domantas Sabonis,C,SAC
57,15,15,32.9,16.6,87,169,51.5,18,52,34.6,57,69,82.6,Wendell Carter Jr.,C,ORL
58,17,17,31.5,16.6,106,222,47.7,33,91,36.3,38,45,84.4,Lonnie Walker IV,SF,LAL
59,16,16,29.1,16.4,96,206,46.6,47,110,42.7,24,30,80.0,Michael Porter Jr.,SF,DEN
60,18,18,29.2,16.3,129,213,60.6,3,11,27.3,32,45,71.1,Deandre Ayton,C,PHO
61,18,0,25.6,16.3,109,201,54.2,25,62,40.3,51,76,67.1,Christian Wood,C,DAL
62,19,19,31.8,16.2,109,259,42.1,28,88,31.8,62,84,73.8,Jaden Ivey,SG,DET
63,20,20,37.2,16.1,125,234,53.4,31,70,44.3,40,46,87.0,Mikal Bridges,SF,PHO
64,19,19,32.2,16.1,106,217,48.8,62,136,45.6,31,45,68.9,Kevin Huerter,SG,SAC
65,17,16,31.3,16.1,94,235,40.0,35,113,31.0,51,66,77.3,Gary Trent Jr.,SG,TOR
66,22,4,27.5,15.9,120,289,41.5,46,151,30.5,64,76,84.2,Jordan Poole,SG,GS
67,21,21,31.9,15.9,124,281,44.1,39,115,33.9,47,59,79.7,P.J. Washington,PF,CHA
68,17,17,28.5,15.8,103,170,60.6,18,47,38.3,45,73,61.6,Aaron Gordon,PF,DEN
69,19,19,30.9,15.8,113,221,51.1,46,112,41.1,28,36,77.8,Brook Lopez,C,MIL
70,20,20,32.1,15.6,112,252,44.4,28,79,35.4,59,73,80.8,De'Andre Hunter,SF,ATL
71,20,20,31.9,15.6,122,257,47.5,31,90,34.4,36,42,85.7,Nikola Vucevic,C,CHI
72,17,14,26.7,15.4,97,179,54.2,4,19,21.1,63,79,79.7,Alperen Sengun,C,HOU
73,19,12,34.0,15.3,105,247,42.5,58,163,35.6,23,26,88.5,Max Strus,SG,MIA
74,18,3,28.2,15.3,99,244,40.6,24,76,31.6,53,73,72.6,Russell Westbrook,PG,LAL
75,21,21,34.2,15.0,128,235,54.5,4,19,21.1,54,79,68.4,Evan Mobley,PF,CLE
76,22,5,25.3,14.8,113,246,45.9,36,95,37.9,64,82,78.0,Norman Powell,SG,LAC
77,21,21,36.3,14.6,89,229,38.9,51,142,35.9,78,91,85.7,Kyle Lowry,PG,MIA
78,18,18,29.2,14.6,100,193,51.8,13,30,43.3,49,65,75.4,Jusuf Nurkic,C,POR
79,19,17,30.6,14.5,88,217,40.6,28,103,27.2,72,79,91.1,Saddiq Bey,SF,DET
80,17,16,33.1,14.4,101,231,43.7,23,66,34.8,20,27,74.1,Scottie Barnes,PF,TOR
81,18,18,30.3,14.4,113,247,45.7,14,54,25.9,19,28,67.9,Josh Giddey,PG,OKC
82,21,21,31.0,14.4,111,259,42.9,40,125,32.0,40,51,78.4,D'Angelo Russell,PG,MIN
83,19,0,22.6,14.3,99,206,48.1,37,105,35.2,36,40,90.0,Malik Monk,SG,SAC
84,20,20,30.6,14.3,112,240,46.7,41,109,37.6,20,26,76.9,Marcus Morris,PF,LAC
85,23,2,26.7,14.0,115,268,42.9,75,186,40.3,18,20,90.0,Malik Beasley,SG,UTA
86,17,0,22.7,14.0,83,170,48.8,30,64,46.9,42,49,85.7,Malcolm Brogdon,PG,BOS
87,19,19,31.8,13.8,96,150,64.0,0,2,0.0,70,95,73.7,Rudy Gobert,C,MIN
88,21,21,30.3,13.7,102,251,40.6,34,111,30.6,50,66,75.8,Luguentz Dort,SF,OKC
89,23,6,23.7,13.6,109,225,48.4,21,60,35.0,73,89,82.0,Collin Sexton,SG,UTA
90,17,17,32.0,13.5,94,160,58.8,0,2,0.0,41,52,78.8,Jarrett Allen,C,CLE
91,21,16,27.1,13.5,116,193,60.1,18,43,41.9,33,43,76.7,Bol Bol,PF,ORL
92,19,5,27.0,13.5,106,222,47.7,24,74,32.4,20,25,80.0,Bobby Portis,C,MIL
93,18,10,25.2,13.3,90,213,42.3,33,85,38.8,27,35,77.1,Cameron Payne,PG,PHO
